"Dim5","gene","rank"
0.143303900957108,"KCNB2",271
0.143063798546791,"POU6F2",272
0.143039345741272,"LPP",273
0.142914727330208,"YWHAB",274
0.142677530646324,"LPPR4",275
0.141207650303841,"RASGRF2",276
0.140189245343208,"THY1",277
0.139692723751068,"NR3C2",278
0.139467313885689,"TNKS",279
0.13904581964016,"KIF21A",280
0.138988167047501,"NUAK1",281
0.138561517000198,"GAP43",282
0.138415396213531,"SOX5",283
0.137850433588028,"PPP3CB",284
0.137790530920029,"RORA",285
0.136745378375053,"JUND",286
0.136454999446869,"BCOR",287
0.135518401861191,"KIF1A",288
0.135481297969818,"RIMBP2",289
0.135444968938828,"ACTG1",290
0.135320886969566,"SPARCL1",291
0.135220304131508,"ADAMTS19",292
0.13467039167881,"SPOCK1",293
0.134371235966682,"ZFAND5",294
0.133921235799789,"MAN1A1",295
0.13383749127388,"SERINC3",296
0.132969528436661,"PEBP1",297
0.132935851812363,"AQP4-AS1",298
0.13280625641346,"CLTC",299
0.131473496556282,"ZEB1",300
0.131134450435638,"PLD3",301
0.129746481776237,"AC114765.1",302
0.129467397928238,"FAIM2",303
0.129096105694771,"GRIA1",304
0.128338620066643,"KCNQ2",305
0.127728894352913,"ROBO1",306
0.127715721726418,"SORCS3",307
0.127615869045258,"NAPB",308
0.127113848924637,"TSPAN7",309
0.127028450369835,"COL24A1",310
0.12646895647049,"ATP1A1",311
0.126278921961784,"TRPS1",312
0.125895246863365,"RBFOX3",313
0.125778302550316,"RIT2",314
0.125695675611496,"MAP7",315
0.123012363910675,"RP11-436D23.1",316
0.122977450489998,"ITM2B",317
0.122897706925869,"RP11-594C13.1",318
0.122587166726589,"PRKG1",319
0.121753327548504,"AMPH",320
0.121682040393353,"RP11-30J20.1",321
0.121642149984837,"ACSL3",322
0.12161298841238,"CDH13",323
0.120896622538567,"SORBS1",324
0.120708927512169,"NREP",325
0.120159946382046,"GAPDH",326
0.119664222002029,"ENO2",327
0.119432754814625,"RAB3C",328
0.118827119469643,"GRM3",329
0.118580333888531,"APLP2",330
0.118452280759811,"ELAVL2",331
0.118166469037533,"TSHZ2",332
0.118154168128967,"FAM171B",333
0.117957048118114,"MAN2A1",334
0.117895133793354,"TMTC1",335
0.117850609123707,"TENM3",336
0.117777243256569,"LAMA2",337
0.117263205349445,"PRICKLE2",338
0.117241635918617,"EIF4A2",339
0.116973169147968,"GNAS",340
0.116557501256466,"XKR4",341
0.116467341780663,"BCL11A",342
0.116098210215569,"MTPN",343
0.116094306111336,"EPHA3",344
0.115728743374348,"PKM",345
0.115240722894669,"SARAF",346
0.115211546421051,"TMSB10",347
0.115173831582069,"PPP2R1A",348
0.114958919584751,"PNMA2",349
0.114239096641541,"SLC12A5",350
0.114222884178162,"RORB",351
0.113913007080555,"UTY",352
0.11380559951067,"RP11-673E1.4",353
0.113588683307171,"MIB1",354
0.112511329352856,"STMN2",355
0.112077474594116,"SYT4",356
0.11202597618103,"FAM153C",357
0.111902244389057,"N4BP2L2",358
0.111590169370174,"NGFRAP1",359
0.111562848091125,"TESPA1",360
0.111329220235348,"COL19A1",361
0.110773541033268,"HTR2A",362
0.110538169741631,"ETNK1",363
0.11028378456831,"DGKZ",364
0.110234133899212,"GRM1",365
0.109506256878376,"TTN-AS1",366
0.10941069573164,"KANSL1",367
0.108760558068752,"HSPH1",368
0.108700223267078,"RNF11",369
0.108694091439247,"PGM2L1",370
0.108574062585831,"KCNH5",371
0.107978604733944,"PKD1",372
0.107904672622681,"KCTD8",373
0.107715852558613,"LUC7L3",374
0.107165157794952,"SYN1",375
0.107004009187222,"PID1",376
0.106482580304146,"ATP6V1B2",377
0.106031253933907,"XYLT1",378
0.105822429060936,"FTH1",379
0.1058194860816,"INADL",380
0.10496386885643,"ARID5B",381
0.104940064251423,"HMGCR",382
0.104648858308792,"TOLLIP",383
0.104630783200264,"ATP1A3",384
0.10454648733139,"SCAI",385
0.104070916771889,"RHBDD2",386
0.103870578110218,"TOMM20",387
0.103131964802742,"LMBRD2",388
0.101975902915001,"BSG",389
0.101365976035595,"HMP19",390
0.101287730038166,"R3HDM2",391
0.10111241787672,"USP22",392
0.101082511246204,"TTC3P1",393
0.100987866520882,"ZMYND8",394
0.100370533764362,"KIAA1107",395
0.100103184580803,"DGCR5",396
0.0999544188380241,"SLIT3",397
0.0998077318072319,"CMTM4",398
0.099683091044426,"CLSTN3",399
0.0990718975663185,"CSMD2",400
0.0987747237086296,"ZNF804A",401
0.0987292751669884,"NAT8L",402
0.0986500009894371,"YWHAE",403
0.0985511019825935,"PNISR",404
