"Dim2","gene","rank"
0.329471439123154,"RTN3",68
0.328138202428818,"BASP1",69
0.322891026735306,"RTN1",70
0.321858137845993,"FBXW7",71
0.316333502531052,"ARPP21",72
0.309956252574921,"FAM19A1",73
0.30703741312027,"CTNNA2",74
0.306388199329376,"KCNH7",75
0.303102374076843,"NRGN",76
0.299148440361023,"PDZD2",77
0.297024786472321,"GAPDH",78
0.292474269866943,"THY1",79
0.291798084974289,"PTPRK",80
0.289114385843277,"SPARCL1",81
0.283023297786713,"TCF4",82
0.282627820968628,"GRIK2",83
0.280456930398941,"CACNB2",84
0.278487920761108,"APLP1",85
0.270986288785934,"RP11-112J1.1",86
0.269449830055237,"KANSL1",87
0.268916636705399,"KHDRBS3",88
0.268504410982132,"PRKACB",89
0.26785010099411,"NTRK2",90
0.266498893499374,"SERPINI1",91
0.263748854398727,"ROBO1",92
0.263277977705002,"CNTN1",93
0.26119539141655,"UCHL1",94
0.260016798973083,"PBX1",95
0.25756624341011,"UQCRB",96
0.25715434551239,"NTM",97
0.256752133369446,"PIK3R1",98
0.254697173833847,"HSP90AA1",99
0.251593679189682,"CHL1",100
0.250516355037689,"STMN1",101
0.247366428375244,"NGFRAP1",102
0.246390789747238,"MGAT4C",103
0.246219456195831,"PDE4B",104
0.245909094810486,"RGS4",105
0.245734363794327,"SNTG1",106
0.242687851190567,"ANKRD30BL",107
0.241275906562805,"DOK6",108
0.240277364850044,"TBC1D19",109
0.239710316061974,"ASIC2",110
0.238507390022278,"LRRC4C",111
0.236032381653786,"BRINP3",112
0.236019253730774,"DNM1",113
0.235068261623383,"FTH1",114
0.234874859452248,"GNAS",115
0.233715906739235,"OLFM1",116
0.232887610793114,"OLFM3",117
0.231556609272957,"MIR99AHG",118
0.231311827898026,"MAN1A1",119
0.230946987867355,"AUTS2",120
0.230196475982666,"RP13-258O15.1",121
0.229551672935486,"PKM",122
0.229274764657021,"CLSTN1",123
0.228125408291817,"CNKSR2",124
0.226211175322533,"TMEM59L",125
0.225527718663216,"LRRTM3",126
0.225357607007027,"TSC22D1",127
0.225161045789719,"PEBP1",128
0.223657965660095,"GABRB2",129
0.222280070185661,"CNTNAP5",130
0.221312537789345,"MAP1B",131
0.220882415771484,"PSAP",132
0.220513433218002,"TTTY14",133
0.219766691327095,"RAPGEF2",134
0.219487085938454,"HDAC9",135
0.218947127461433,"NUTM2A-AS1",136
0.21874888241291,"EPHA5",137
0.217875495553017,"EIF4A2",138
0.217334151268005,"PHYHIP",139
0.217003181576729,"CDH13",140
0.215645313262939,"ENO2",141
0.215554773807526,"SHISA9",142
0.215360164642334,"GABRG2",143
0.214670360088348,"FAIM2",144
0.213237717747688,"CPE",145
0.213160678744316,"IDS",146
0.211533963680267,"GRM1",147
0.211192682385445,"CA10",148
0.21008788049221,"HOMER1",149
0.209573283791542,"GRIA1",150
0.20812238752842,"RP3-417G15.1",151
0.207975521683693,"TUBA1A",152
0.207547605037689,"COX7C",153
0.207544907927513,"GRIN2B",154
0.206405162811279,"CDH10",155
0.205114901065826,"TUBA1B",156
0.204432368278503,"UBC",157
0.200937986373901,"ATP1A1",158
0.200367242097855,"FUT9",159
0.199091538786888,"YWHAZ",160
0.198956593871117,"RASGRF2",161
0.198355123400688,"TSPAN7",162
0.198286533355713,"CTD-2537O9.1",163
0.197360008955002,"COX4I1",164
0.194600328803062,"ATP5E",165
0.193599849939346,"NPAS4",166
0.193381458520889,"NECAB1",167
0.193039283156395,"RP11-384F7.2",168
0.192730769515038,"AC016739.2",169
0.191841632127762,"SNCA",170
0.191644310951233,"PVRL3",171
0.191626638174057,"SNAP25-AS1",172
0.190208807587624,"LINC00657",173
0.190068826079369,"SRSF5",174
0.18845984339714,"SORBS1",175
0.188203349709511,"PLEKHA7",176
0.1874108761549,"NLGN4Y",177
0.186843812465668,"SYP",178
0.186611413955688,"STXBP1",179
0.186214327812195,"CPEB4",180
0.185258954763412,"GALNT13",181
0.184285223484039,"P2RY14",182
0.183495298027992,"HSP90AB1",183
0.181165605783463,"LINC01378",184
0.181129962205887,"HNRNPDL",185
0.180961057543755,"ATP5I",186
0.179288417100906,"DYNLL1",187
0.178898140788078,"RP11-51O6.1",188
0.178619369864464,"ANKRD36",189
0.178478181362152,"LMO4",190
0.178273260593414,"PREPL",191
0.177905589342117,"PRNP",192
0.177674755454063,"RIMS1",193
0.17710468173027,"LINC-PINT",194
0.176666289567947,"SARAF",195
0.176567226648331,"PCDH11Y",196
0.175852075219154,"ZFPM2",197
0.17485012114048,"TUBB2A",198
0.174388453364372,"GDI1",199
0.173193156719208,"RBFOX3",200
0.172954648733139,"AGBL4",201
0.171341270208359,"NDUFS5",202
0.171081840991974,"MARCH1",203
0.170855715870857,"MAPRE2",204
