,0,1,2,3,4,5,6,7
TBC1D19,1.5424681,1.9318429,1.5296358,1.8789251,1.619642,1.5294596,1.5871254,1.4645612
PCDH7,1.5173117,1.7533956,1.0017227,1.4789124,1.8345437,1.9598943,1.4853581,1.4431055
NWD2,1.5386066,1.7371716,1.7417914,1.4514234,2.2776258,1.4654423,1.3698496,1.6596587
UCHL1,1.9458214,1.41862,1.4474462,1.473452,1.357867,1.2715932,1.4974139,1.7807931
KCTD8,1.7303514,1.3744266,1.302885,1.2700497,1.169611,1.5264168,1.5150281,1.2938008
OCIAD1,1.4656963,1.4845281,1.5636939,1.254332,1.7563446,1.4642352,1.3068638,2.0065327
HOPX,1.3176469,1.4277352,1.6722986,1.1831021,1.541299,1.2947245,1.3466144,1.5373155
LPHN3,1.838759,2.1080172,1.3887389,1.8086163,1.9147924,1.6752733,1.2754649,2.0236053
EPHA5,1.8850492,1.3565332,1.372123,1.6033028,1.6737157,1.4734058,1.6400888,1.7571186
G3BP2,1.5409453,1.152215,1.8369348,1.1793141,1.8146592,2.0839732,1.656331,1.5156902
FRAS1,2.052867,1.3801696,1.4188491,1.9549446,1.7208877,1.268174,1.1878622,1.4733142
RASGEF1B,1.4037497,1.8296198,1.865726,2.4143746,1.7396035,1.968361,2.003561,1.9576905
HNRNPDL,1.5785098,1.8150653,1.8498487,1.4995861,1.8697876,1.6415273,1.4531147,1.5458125
SCD5,1.648729,1.5937915,1.6700501,1.670964,1.5956419,1.8486084,1.9455545,1.4670528
RP11-778J15.1,1.1508944,1.5664624,1.5449085,1.4161199,1.8383213,1.6845769,1.3453999,1.2359006
SPARCL1,1.9235941,1.7778028,2.228418,1.4709194,1.4782333,1.2294022,1.837084,1.2948792
HSP90AB3P,1.5284827,1.4397866,1.524987,1.4566257,1.2728806,2.0115728,1.1734761,1.465561
SNCA,1.3123183,1.5584016,1.1558626,1.4368492,1.6388879,1.5958648,1.6587132,1.7084903
GRID2,1.6623861,1.8093543,1.6143126,1.8223017,2.1038833,1.9376704,1.834246,1.8986106
PPP3CA,1.895089,2.1307836,1.5778822,1.7674514,1.7570379,1.7829127,1.8563832,1.6585923
CAMK2D,1.6918896,1.4596348,1.7114646,1.4589769,1.7041732,1.5520848,1.7860005,1.078096
LINC01378,1.5333494,1.5306485,1.4542036,1.5795143,2.2672842,1.854927,1.6442639,1.8689915
PDE5A,1.530791,1.4065133,1.4534286,1.1749113,1.4566586,1.7171491,1.3499565,1.3174874
RP11-745L13.2,2.0258133,1.64846,1.8756161,1.1472294,1.7695577,1.7739388,1.4674058,1.7713617
PCDH10,1.4557898,1.9521888,2.2443745,1.3709052,1.5630405,1.566609,1.4869847,1.1713006
MAML3,1.0787016,1.1191039,1.2372417,1.5689869,1.5647732,1.7455378,1.2158145,1.4291439
SCOC,1.529778,1.9112862,1.8643354,1.3660139,2.0902736,1.4346045,1.6766229,1.1582333
RP11-673E1.4,1.4193115,1.7194549,1.3874055,2.1045578,1.2989511,1.350774,1.2272071,2.0028503
PRMT9,1.6675289,1.5197682,1.7839438,1.2798419,1.3671064,1.1544943,1.5970933,1.2102275
ARHGAP10,1.5957265,1.8348258,1.764231,1.4262356,1.4960614,1.3089114,1.5836246,1.7657721
NR3C2,1.4183459,1.6794934,1.6813873,1.3635744,1.8604897,1.8329848,1.4331292,1.7572837
FBXW7,1.9067681,1.5924429,1.5389127,1.8517846,1.5613971,1.7186329,1.7287357,1.3738902
GUCY1B3,2.1340582,1.4795175,2.0243728,1.4957029,1.6740454,1.6779103,1.2911522,1.7511839
RAPGEF2,1.7760848,1.4907427,1.2686839,2.5920691,1.8943975,1.5993973,1.5769856,1.7459835
FSTL5,1.56056,1.4378252,1.195411,2.2929604,1.2501001,1.14708,1.3997989,1.7200736
MARCH1,1.8006064,2.3086808,1.615546,1.6107608,1.4620274,1.6738176,1.6239345,1.2426587
CPE,1.5160645,1.6659003,1.8333131,1.3277133,1.5936018,1.3430653,1.8519545,1.9838765
GALNTL6,1.6712285,1.8325189,1.6049525,1.7420058,1.965881,1.6987226,1.8743345,1.6021094
GPM6A,1.6885896,2.164754,1.9380189,1.6065832,1.4368422,1.701106,2.1039882,1.3927643
