,0,1,2,3,4,5,6,7
ANKRD36C,1.4805127,1.4262697,1.3046981,1.8160696,1.3777335,0.8401232,1.2782458,1.4779811
ANKRD36,1.4677502,0.8557607,1.680507,1.2699797,1.928834,0.9957391,1.271363,1.9395915
AC159540.1,1.5375472,0.93713665,1.4084829,1.1536946,1.4764686,0.99271804,1.3597298,2.074155
COX5B,1.2257086,0.85129684,1.0846446,0.93473697,0.9771546,0.52023983,1.032221,1.3579433
NPAS2,1.2959051,0.974344,1.505188,1.303364,1.3752142,0.7673703,1.0733743,1.710388
CREG2,1.5198653,0.9857728,1.4123937,1.7259227,1.7638204,0.88526416,1.1847769,1.3176278
LINC01106,1.3273573,0.8978187,1.1972314,1.3840156,1.3861802,0.65763146,0.9993223,1.0941402
CNTNAP5,1.6293583,1.6397605,1.7359928,1.6210295,1.6620538,2.2560616,1.8741555,1.4567277
BIN1,1.1873859,0.8590896,1.2962512,1.0099077,1.3052491,0.6855672,1.0566173,1.3636019
MZT2B,1.1769238,0.5699383,1.262354,1.0655706,1.164724,0.44601083,0.69199884,1.2017708
PLEKHB2,1.7282549,0.9031567,1.0210632,1.0106593,1.2867022,0.53160524,1.028097,1.0781863
ANKRD30BL,1.845672,1.1673769,1.5876985,1.5279188,1.5060725,1.1070613,1.0796676,1.7210542
LRP1B,2.0098472,2.445138,1.9600222,1.8666531,1.7612834,4.144415,1.9314,1.9661964
GALNT13,1.4907981,0.8298001,1.5217283,1.1404289,1.8851153,1.074265,1.3227042,1.2475014
KCNJ3,1.632539,0.95076764,1.669515,1.2575988,1.3630298,0.9121698,0.93115336,1.265507
KCNH7,1.5763762,1.5319113,1.6174017,1.8971953,2.7967353,2.2872553,1.6720226,1.7219617
SCN1A,1.3060628,1.2804488,1.5380762,1.4885254,1.3009738,1.2555321,1.3125514,1.3672646
AC007969.5,1.174478,0.89434713,1.23365,1.1905764,1.4014226,0.6975756,0.78149223,0.9255258
CHN1,2.1807969,2.3944795,2.121771,2.0895214,1.5616442,4.5232854,1.9868803,1.8780547
ATP5G3,1.2618314,0.8666309,1.3531286,1.0509752,1.1824353,0.60284364,1.1971196,1.1544632
AC016739.2,1.2096009,0.7281696,1.0941237,1.1055883,1.5370555,0.59328806,0.97943795,1.3475524
HNRNPA3,1.5116436,0.8024451,1.1877707,1.1113559,1.177265,0.5914627,0.9872266,1.0411539
TTN-AS1,1.6337223,0.82359177,1.2059904,1.3813547,1.308348,0.66457546,1.2043545,1.5063229
NCKAP1,1.6079273,0.87361676,1.1536833,1.3551823,1.3513066,0.829531,0.88037944,1.7057842
ZNF804A,1.6281741,1.0362244,1.4985707,1.2238046,1.4616003,0.80929726,1.0565394,1.2306015
FAM171B,1.8582797,0.8804223,1.1353407,1.1859815,1.0919878,0.8510279,0.9220579,1.2926149
LINC01090,1.7778044,1.0753869,1.4397291,1.0690536,1.2366802,0.9205204,1.2387699,1.6110969
COL5A2,1.3518196,1.20618,1.4797761,1.1805434,1.6287392,0.85772914,1.1160289,1.5672442
GLS,1.9265473,1.3115108,1.6899472,1.6253233,1.6445531,1.1592189,1.2492747,1.8272905
STAT4,1.5512614,0.7150225,1.6090217,1.0243088,1.1254637,0.51447606,0.9165223,1.4875226
TMEFF2,1.4486703,1.1659132,1.6027454,1.7891277,1.2760623,1.1234046,1.2272588,1.5630735
SLC39A10,1.507718,0.91127336,1.1732572,1.7912567,1.6544216,1.0469898,1.3314143,1.4737557
PLCL1,1.735073,1.2259892,1.6414965,1.7323459,1.6984278,1.4302602,1.492612,1.4833468
RAPH1,1.5411727,1.0387881,2.0521412,1.6180483,1.6482557,1.0180495,1.2288065,1.6089004
INO80D,1.6195033,2.570868,2.0957172,1.8384061,1.9585712,2.4529285,1.8540207,1.744112
IGFBP5,1.1503386,0.7143301,0.8085353,1.223745,1.0642065,0.47859752,0.7322053,1.1005509
AC007563.5,1.4268583,0.89218545,1.3133827,1.0741028,1.4977684,0.7998998,1.1563562,1.3233786
CDK5R2,0.93472487,0.87805825,1.2882881,1.3463271,1.0305321,0.7664271,1.1167611,1.198088
TUBA4A,1.3197527,0.6432033,1.1091228,1.0551324,0.85304195,0.6308665,1.1177231,1.2607194
DNAJB2,1.2589186,0.6974385,1.166906,1.1107041,1.0529008,0.55621666,0.79793376,1.3065792
PTPRN,1.2175657,0.9314045,1.1277472,1.0953707,1.4203132,0.63380456,1.3216125,1.514286
AC114765.1,1.6845272,0.8253563,1.6131896,1.1515157,1.4421318,0.98571414,1.0062633,1.457761
ACSL3,1.2532079,0.99321496,1.3412011,1.0692253,1.1856678,0.86274016,1.0181292,1.735742
SCG2,1.3679698,0.8189769,1.0955826,0.9109654,1.0854584,0.65209806,0.8260032,1.3235466
SERPINE2,1.3884262,1.0527987,1.3124659,1.3856791,1.4939654,0.8862489,1.3618456,1.688285
SPHKAP,1.2879634,0.6999134,1.3658448,1.0919489,1.1417857,0.6587393,0.8653605,1.074847
PID1,1.3322217,0.88373744,1.7842488,1.2354225,1.3099649,0.75879633,1.142152,1.3625411
ITM2C,1.2464718,0.7870409,1.2177482,1.0181804,1.1463821,0.52391887,0.7330847,1.2664893
PTMA,1.1808879,0.99771816,1.3424486,1.16281,1.1399055,0.6630593,1.0878369,1.3586597
MYEOV2,1.2357687,0.8020182,1.2620118,0.90198857,1.1937873,0.51471066,0.8645722,0.99364513
GPC1,1.4963026,0.9440691,0.9074827,1.0881636,1.1472529,0.46549696,0.9127356,1.1911051
KIF1A,1.3531059,1.0092946,1.4813429,1.1059422,1.342983,0.69839555,1.0244603,1.6275936
SNED1,1.5542845,0.85213387,1.6184803,1.3914704,1.5853086,0.8525705,1.1052203,1.311508
CHL1,1.772294,1.4861917,2.0475345,1.6756004,2.003072,1.5806472,1.475475,1.397546
SUMF1,1.204479,1.1996005,1.385535,1.0824095,1.6165792,0.8280969,0.9273962,1.1967721
THUMPD3-AS1,1.4013667,0.73086447,1.3112762,1.185485,1.6756786,0.7096678,0.7929312,1.6585852
BRK1,1.3425701,0.6402515,1.0777248,1.3375782,1.4002806,0.69603413,0.8789726,1.2962719
ATP2B2,1.5570103,1.5925721,1.8547356,1.3212246,1.7273444,1.5975661,1.5034162,1.8394738
SYN2,1.3151482,1.236578,1.7662225,1.3068231,1.8645989,1.4467084,1.1846889,1.5950471
RFTN1,1.4868225,0.8487772,1.2876945,1.3359792,1.2202867,0.97108126,1.0273787,1.5263497
ARPP21,1.8592389,1.8871263,1.737308,1.8045965,2.0194209,2.978388,1.5639035,1.5265584
CCK,1.6068473,1.2384504,1.4993321,1.4702048,1.4076967,1.2802875,1.25257,1.668837
