variable,value
100,0.9999039305591071
100,0.9997999487417941
100,0.9998515259156948
100,0.9998943558527652
100,0.9995614288248268
100,0.9335210389181154
100,0.9986432559353088
100,0.9991364114724994
200,0.999956662434684
200,0.9999241893735596
200,0.6502342494701047
200,0.9983449395543744
200,0.9998362860271347
200,0.9979762312554181
200,0.999826043982043
200,0.999749559851902
200,0.9998348006381731
200,0.9997579476745889
200,0.9996413397130026
200,0.9996691227132563
200,0.9784809848110728
200,0.9992154697669959
200,0.9986195494086304
200,0.9999571924581301
200,0.6712384519682493
200,0.9992229779256776
200,0.9547818255112012
200,0.9997059314660385
200,0.997551187982
200,0.999258768602912
200,0.9979164799037865
200,0.9964414899704463
200,0.9997372571275173
200,0.9998930266686722
200,0.9961579307907152
200,0.9999436579525419
200,0.9212498069142498
200,0.9958224589152642
200,0.9999146226484783
200,0.9997973527966935
200,0.9995800945339127
200,0.99870482555357
200,0.9998520483943839
200,0.9987712360007115
200,0.9999689636086856
200,0.9971697952569532
200,0.999818608211932
200,0.9997677470546114
200,0.996181666079878
200,0.9995594499161048
200,0.9829393573989299
200,0.9839777840478919
200,0.9963753214364794
200,0.9980920457483222
200,0.9979153092348323
200,0.9998173838711673
200,0.9999389963971551
200,0.9997693130414013
400,0.9996498724826323
400,0.9997866832648404
400,0.9989088748920285
400,0.6251303757083965
400,0.9998089402959454
400,0.9997557319674145
400,0.9999146622520655
400,0.9820272398085175
400,0.9999107897360319
400,0.999945905996393
400,0.9999424624554883
400,0.9999360284630254
400,0.9999444398129976
400,0.9835788786850082
400,0.9997375175707718
400,0.9800490395036121
400,0.4907393891784528
400,0.9999287817212944
400,0.9964536827156568
400,0.9999162205106054
400,0.9995679925009314
400,0.4686620808750119
400,0.990272657700365
400,0.9988819254908018
400,0.9997964811094207
400,0.9999029860868086
400,0.9998259568214705
400,0.9994105175124466
400,0.9998200561279331
400,0.9959748182060961
400,0.9996646403383173
400,0.9989438793088745
400,0.9985187621765641
400,0.9998272330915485
400,0.9959600860904613
400,0.9999004345332245
400,0.9707082670365587
400,0.9998155857316234
400,0.9994670113571456
400,0.9979402116844552
400,0.9990037925604274
400,0.9933301275274385
400,0.9998674419578825
400,0.9998679282546694
400,0.9995855898528493
400,0.9999664662911366
400,0.9999116144251383
400,0.999963878502352
400,0.9999243476124519
400,0.9983135101111296
600,0.9987876605475368
600,0.9963419784669987
600,0.9993437127804148
600,0.9976732417700047
600,0.9997704089920503
600,0.999946311887438
600,0.9778716760338197
600,0.9996537855100343
600,0.9994987915195723
600,0.9984270454584669
600,0.9997092960762641
600,0.9996835317097489
600,0.9999369262515235
600,0.9991606001357386
600,0.9991174479920668
600,0.9998306514790336
600,0.9999581797591192
600,0.9999266871151138
600,0.9985911806360364
600,0.9996409248970072
600,0.9999311216227172
600,0.9946080288803734
600,0.8683918807119949
600,0.9997111281266038
600,0.999771856524396
600,0.9974852663057181
600,0.999062477651639
600,0.9998697164510315
600,0.9823051540316116
600,0.998317531294845
600,0.9999156512842425
600,0.9995405016393487
600,0.9981116388248913
600,0.9914251306006548
600,0.999131636312267
600,0.9999202593004036
600,0.9998404746997446
600,0.999110569022153
600,0.8478533048232988
600,0.9997386264105019
600,0.9996699176780081
600,0.9970543722219808
600,0.9977108497110565
600,0.9989515759902956
600,0.991088813160622
600,0.999875859868036
600,0.9998494452040356
600,0.9998796233897035
600,0.9974661888498476
600,0.999582255320095
