variable,value,log_value,log_variable
50,3.237356901,0.510190581,1.698970004
50,1.815155268,0.25891378,1.698970004
50,0.893613815,-0.048850126,1.698970004
50,1.180377007,0.072020741,1.698970004
50,1.434213161,0.156613704,1.698970004
50,1.639896154,0.214816347,1.698970004
50,2.088883877,0.319914298,1.698970004
50,3.67623806,0.565403627,1.698970004
50,3.342069864,0.524015524,1.698970004
50,2.272792101,0.356559711,1.698970004
50,2.564777136,0.409049633,1.698970004
50,2.125490904,0.327459251,1.698970004
50,1.719667912,0.235444588,1.698970004
50,2.20963788,0.344321107,1.698970004
50,2.653049231,0.423745309,1.698970004
50,1.119671822,0.049090749,1.698970004
50,1.911781073,0.281438158,1.698970004
50,4.071417093,0.609745596,1.698970004
50,0.956243992,-0.019431281,1.698970004
50,3.109958887,0.492754648,1.698970004
50,5.117401123,0.70904946,1.698970004
50,1.02067399,0.008887048,1.698970004
50,4.276134729,0.63105138,1.698970004
50,2.121921062,0.326729224,1.698970004
50,1.675595045,0.224169067,1.698970004
50,2.022750854,0.305942393,1.698970004
50,2.838745832,0.45312651,1.698970004
50,7.409797907,0.869806363,1.698970004
50,2.210175991,0.344426857,1.698970004
50,2.672831059,0.426971509,1.698970004
50,0.920464277,-0.035993062,1.698970004
50,6.045742989,0.781449681,1.698970004
50,0.966062784,-0.014994648,1.698970004
50,1.312151909,0.117984117,1.698970004
50,1.131505013,0.053656482,1.698970004
50,0.852194071,-0.069461492,1.698970004
50,1.133799791,0.054536373,1.698970004
50,1.780182838,0.25046461,1.698970004
50,4.573173046,0.660217635,1.698970004
50,1.856310129,0.268650534,1.698970004
50,1.067629099,0.028420402,1.698970004
50,1.480794907,0.170494912,1.698970004
50,1.683335066,0.22617057,1.698970004
50,4.026796579,0.604959691,1.698970004
75,13.58426595,1.133036175,1.875061263
75,3.450366259,0.537865198,1.875061263
75,6.189136982,0.791630095,1.875061263
75,8.787592888,0.943869929,1.875061263
75,8.877673864,0.948299186,1.875061263
75,23.01153517,1.361945593,1.875061263
75,2.272596359,0.356522307,1.875061263
75,7.924898148,0.898993689,1.875061263
75,4.151678801,0.618223746,1.875061263
75,3.561058998,0.551579169,1.875061263
75,2.856630087,0.455854006,1.875061263
75,3.798543692,0.579617126,1.875061263
75,23.05736279,1.362809633,1.875061263
75,9.47961688,0.976790786,1.875061263
75,14.05209994,1.14774123,1.875061263
75,17.05293274,1.231799079,1.875061263
75,3.295176983,0.517878745,1.875061263
75,19.57288623,1.291654872,1.875061263
75,2.117027998,0.325726602,1.875061263
75,2.420345068,0.383877288,1.875061263
75,18.31399488,1.262783089,1.875061263
75,9.890967131,0.995238759,1.875061263
75,1.640904903,0.215083413,1.875061263
75,5.78289485,0.762145296,1.875061263
75,6.445584059,0.809262277,1.875061263
75,3.12557292,0.494929635,1.875061263
75,7.701427937,0.886571256,1.875061263
75,2.00763917,0.30268566,1.875061263
75,10.47422314,1.020121822,1.875061263
75,8.122830868,0.909707411,1.875061263
75,4.718216896,0.673777901,1.875061263
75,25.93466306,1.41388061,1.875061263
75,10.00301981,1.000131129,1.875061263
75,2.499047995,0.397774597,1.875061263
75,3.000951767,0.477259015,1.875061263
75,6.924276114,0.840374378,1.875061263
75,8.970903158,0.952836168,1.875061263
75,4.068534136,0.609437964,1.875061263
75,3.156643152,0.499225489,1.875061263
75,4.142168045,0.617227714,1.875061263
75,14.13642025,1.150339447,1.875061263
75,8.779142857,0.943452116,1.875061263
75,19.43383813,1.288558581,1.875061263
75,24.0417912,1.380966821,1.875061263
75,16.94514799,1.229045366,1.875061263
75,4.076318979,0.610268161,1.875061263
75,5.822767735,0.765129467,1.875061263
75,19.75035715,1.295574953,1.875061263
75,11.47047877,1.059581546,1.875061263
75,8.090896845,0.907996664,1.875061263
125,11.7373929,1.069571643,2.096910013
125,112.1824949,2.049925094,2.096910013
125,3.337901115,0.523473467,2.096910013
125,39.6286149,1.598008893,2.096910013
125,15.610039,1.193403988,2.096910013
125,30.37602615,1.482530958,2.096910013
125,49.68544221,1.696229159,2.096910013
125,7.170141935,0.855527753,2.096910013
125,16.21550012,1.209930348,2.096910013
